dutch_name;color;behavior;shape;habitat;when_to_spot;rarity;characteristics;image_credit;image_author_reference;image_wikimedia_source;image_license;image_license_url
kokmeeuw;1;1;4;2&4&6&7;Gehele jaar;1;;Jules Grandgagnage;https://commons.wikimedia.org/wiki/User:Jules_Grandgagnage;;CC BY-SA 4.0;https://creativecommons.org/licenses/by-sa/4.0/
kolgans;5;;7;;Gehele jaar;;;Ryanx7;https://commons.wikimedia.org/wiki/User:Ryanx7;https://commons.wikimedia.org/w/index.php?curid=72020641;CC BY-SA 4.0;https://creativecommons.org/licenses/by-sa/4.0/
koolmees;10;;9;1;Gehele jaar;1;;Francis Franklin;https://commons.wikimedia.org/wiki/User:Baresi_franco;;CC BY-SA 3.0;https://creativecommons.org/licenses/by-sa/3.0/
koperwiek;5&11;;;2&4&7;Winterhalfjaar;;;;;;;
korhoen;2&11;;;;Gehele jaar;4;2&3&4;;;;;
kraanvogel;;9;;3;Zomerhalfjaar;;;;;;;
krakeend;;;6;;Gehele jaar;;;;;;;
kramsvogel;5&11;;;2&4&7;Winterhalfjaar;;;;;;;
krombekstrandloper;12;8;9;8;Gehele jaar;;;;;;;
krooneend;;;6;;Gehele jaar;;;;;;;
kruisbek;7&12;;9;3;Gehele jaar;;;;;;;
kuifduiker;;5;;10;Winterhalfjaar;;;;;;;
kuifeend;3;5;6&10;;Gehele jaar;1;;;;;;
kuifleeuwerik;;;10;;Gehele jaar;;;;;;;
kuifmees;4;;10;3;Gehele jaar;;;;;;;
kwak;;;10;5;Gehele jaar;4;;;;;;
kwartel;;10;;;Zomerhalfjaar;;;;;;;
kwartelkoning;;10;;;Zomerhalfjaar;;;;;;;
lachstern;;;;9;Zomerhalfjaar;;;;;;;
lepelaar;1;9;9&10;5&6&8;Zomerhalfjaar;;;;;;;
mandarijneend;;;6;;Gehele jaar;;;;;;;
matkop;6;;;1&3;Gehele jaar;;;Francis Franklin;https://commons.wikimedia.org/wiki/User:Baresi_franco;;CC BY-SA 3.0;https://creativecommons.org/licenses/by-sa/3.0/
meerkoet;2;5;;2&6;Gehele jaar;1;;;;;;
merel;2&5;;9;1;Gehele jaar;1;;;;;;
middelste bonte specht;3&11&12;6;;3;Gehele jaar;;;;;;;
middelste jager;;;;10;Winterhalfjaar;;;;;;;
middelste zaagbek;;5;6&10;;Gehele jaar;;;;;;;
morinelplevier;;7;;;Voor- en najaar;;;;;;;
